name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	17741	152287	170028	0.85519
Staphylococcus argenteus	985002	S	220	59	279	0.00140
Staphylococcus roterodami	2699836	S	197	72	269	0.00135
Staphylococcus schweitzeri	1654388	S	115	38	153	0.00077
Staphylococcus epidermidis	1282	S	105	17	122	0.00061
Staphylococcus sp. NRL 22/194	3020908	S	40	1	41	0.00021
Staphylococcus sp. MZ9	2836367	S	19	16685	16704	0.08402
Staphylococcus sp. MZ8	2836366	S	13	2575	2588	0.01302
Staphylococcus sp. IVB6240	2989771	S	4	8	12	0.00006
Staphylococcus sp. IVB6181	2929481	S	3	0	3	0.00002
Staphylococcus sp. 17KM0847	2583989	S	2	0	2	0.00001
Staphylococcus sp. AntiMn-1	1715860	S	1	18	19	0.00010
Staphylococcus sp. MZ1	2836369	S	1	4559	4560	0.02294
Staphylococcus simiae	308354	S	69	1	70	0.00035
Staphylococcus xylosus	1288	S	51	7	58	0.00029
Staphylococcus haemolyticus	1283	S	46	7	53	0.00027
Staphylococcus hominis	1290	S	27	3	30	0.00015
Staphylococcus saccharolyticus	33028	S	26	1	27	0.00014
Staphylococcus capitis	29388	S	26	5	31	0.00016
Staphylococcus lugdunensis	28035	S	25	3	28	0.00014
Staphylococcus delphini	53344	S	15	2	17	0.00009
Staphylococcus pseudintermedius	283734	S	9	1	10	0.00005
Staphylococcus pasteuri	45972	S	23	2	25	0.00013
Staphylococcus felis	46127	S	20	0	20	0.00010
Staphylococcus chromogenes	46126	S	20	2	22	0.00011
Staphylococcus piscifermentans	70258	S	16	1	17	0.00009
Staphylococcus succinus	61015	S	14	0	14	0.00007
Staphylococcus equorum	246432	S	14	40	54	0.00027
Staphylococcus lutrae	155085	S	13	0	13	0.00007
Staphylococcus debuckii	2044912	S	12	1	13	0.00007
Staphylococcus kloosii	29384	S	11	0	11	0.00006
Staphylococcus caprae	29380	S	11	1	12	0.00006
Staphylococcus simulans	1286	S	11	1	12	0.00006
Staphylococcus saprophyticus	29385	S	9	1	10	0.00005
Staphylococcus edaphicus	1955013	S	9	0	9	0.00005
Staphylococcus warneri	1292	S	9	7	16	0.00008
Staphylococcus arlettae	29378	S	7	0	7	0.00004
Staphylococcus carnosus	1281	S	4	0	4	0.00002
Staphylococcus cohnii	29382	S	4	4	8	0.00004
Staphylococcus pettenkoferi	170573	S	3	0	3	0.00002
Staphylococcus hyicus	1284	S	3	0	3	0.00002
Staphylococcus condimenti	70255	S	3	0	3	0.00002
Staphylococcus gallinarum	1293	S	3	0	3	0.00002
Staphylococcus pseudoxylosus	2282419	S	3	0	3	0.00002
Staphylococcus agnetis	985762	S	3	0	3	0.00002
Staphylococcus muscae	1294	S	3	0	3	0.00002
Staphylococcus auricularis	29379	S	3	0	3	0.00002
Staphylococcus ratti	2892440	S	2	0	2	0.00001
Staphylococcus lloydii	2781774	S	2	0	2	0.00001
Staphylococcus nepalensis	214473	S	2	0	2	0.00001
Staphylococcus schleiferi	1295	S	1	1	2	0.00001
Staphylococcus ureilyticus	94138	S	1	3	4	0.00002
Mammaliicoccus sciuri	1296	S	3	0	3	0.00002
Mammaliicoccus lentus	42858	S	1	0	1	0.00001
Mammaliicoccus vitulinus	71237	S	1	0	1	0.00001
Macrococcus armenti	2875764	S	1	0	1	0.00001
Paenibacillus physcomitrellae	1619311	S	2	2	4	0.00002
Paenibacillus sp. JNUCC-31	2777983	S	1	0	1	0.00001
Paenibacillus mucilaginosus	61624	S	1	0	1	0.00001
Brevibacillus brevis	1393	S	2	0	2	0.00001
Bacillus pumilus	1408	S	1	0	1	0.00001
Bacillus sp. FJAT-42376	2014076	S	1	0	1	0.00001
Bacillus subtilis	1423	S	1	1	2	0.00001
Cytobacillus oceanisediminis	665099	S	1	1	2	0.00001
Virgibacillus phasianinus	2017483	S	1	0	1	0.00001
Halalkalibacterium halodurans	86665	S	1	0	1	0.00001
Sporosarcina ureilytica	298596	S	1	0	1	0.00001
